COUNTRY,YEAR,DISEASE NAME,SEX CODE,DEATH RATE PER 100K
AFG,2021,Birth asphyxia and birth trauma,FEMALE,23.13
AFG,2021,Melanoma and other skin cancers,FEMALE,0.66
AFG,2021,Brain and nervous system cancers,FEMALE,2
AFG,2021,Thyroid cancer,FEMALE,0.23
AFG,2021,Sickle cell disorders and trait,FEMALE,0.53
AFG,2021,Drug use disorders,FEMALE,1.03
AFG,2021,Parkinson disease,FEMALE,1.85
AFG,2021,Uncorrected refractive errors,FEMALE,0
AFG,2021,Stroke,FEMALE,56.72
AFG,2021,Cirrhosis of the liver,FEMALE,15.6
AFG,2021,Gynecological diseases,FEMALE,0.14
AFG,2021,Drowning,FEMALE,2.11
AFG,2021,Whooping cough,FEMALE,1.73
AFG,2021,Malaria,FEMALE,0.27
AFG,2021,Trachoma,FEMALE,0
AFG,2021,Upper respiratory infections,FEMALE,0.07
AFG,2021,Iron-deficiency anaemia,FEMALE,0
AFG,2021,Pancreas cancer,FEMALE,0.7
AFG,2021,"Lymphomas, multiple myeloma",FEMALE,1.35
AFG,2021,Schizophrenia,FEMALE,0
AFG,2021,Glaucoma,FEMALE,0
AFG,2021,Hypertensive heart disease,FEMALE,22.52
AFG,2021,Asthma,FEMALE,10.21
AFG,2021,Paralytic ileus and intestinal obstruction,FEMALE,0.65
AFG,2021,Pancreatitis,FEMALE,0.44
AFG,2021,Benign prostatic hyperplasia,FEMALE,0
AFG,2021,Gout,FEMALE,0
AFG,2021,Falls,FEMALE,7.6
AFG,2021,Diarrhoeal diseases,FEMALE,6.99
AFG,2021,Acute hepatitis C,FEMALE,0.06
AFG,2021,Iodine deficiency,FEMALE,0
AFG,2021,Colon and rectum cancers,FEMALE,1.68
AFG,2021,Prostate cancer,FEMALE,0
AFG,2021,Depressive disorders,FEMALE,0
AFG,2021,Autism and Asperger syndrome,FEMALE,0
AFG,2021,Idiopathic intellectual disability,FEMALE,0
AFG,2021,Migraine,FEMALE,0
AFG,2021,Other hearing loss,FEMALE,0
AFG,2021,Rheumatoid arthritis,FEMALE,0.22
AFG,2021,Road injury,FEMALE,10.59
AFG,2021,Interpersonal violence,FEMALE,3.31
AFG,2021,Encephalitis,FEMALE,0.32
AFG,2021,Acute hepatitis A,FEMALE,1.96
AFG,2021,Lymphatic filariasis,FEMALE,0
AFG,2021,Hookworm disease,FEMALE,0
AFG,2021,COVID-19,FEMALE,68.41
AFG,2021,Oesophagus cancer,FEMALE,2.01
AFG,2021,Breast cancer,FEMALE,9.19
AFG,2021,Corpus uteri cancer,FEMALE,0.89
AFG,2021,Gallbladder and biliary tract cancer,FEMALE,0.36
AFG,2021,Mesothelioma,FEMALE,0.02
AFG,2021,Anxiety disorders,FEMALE,0
AFG,2021,Epilepsy,FEMALE,1.95
AFG,2021,Macular degeneration,FEMALE,0
AFG,2021,"Cardiomyopathy, myocarditis, endocarditis",FEMALE,1.06
AFG,2021,Appendicitis,FEMALE,0.41
AFG,2021,Skin diseases,FEMALE,0.62
AFG,2021,Gonorrhoea,FEMALE,0
AFG,2021,Tetanus,FEMALE,0.69
AFG,2021,Schistosomiasis,FEMALE,0
AFG,2021,Cysticercosis,FEMALE,0
AFG,2021,Ascariasis,FEMALE,0.03
AFG,2021,Otitis media,FEMALE,0
AFG,2021,Preterm birth complications,FEMALE,46.8
AFG,2021,Neonatal sepsis and infections,FEMALE,7.13
AFG,2021,"Trachea, bronchus, lung cancers",FEMALE,1.71
AFG,2021,Leukaemia,FEMALE,1.97
AFG,2021,Alcohol use disorders,FEMALE,0.12
AFG,2021,Alzheimer disease and other dementias,FEMALE,7.61
AFG,2021,Cataracts,FEMALE,0
AFG,2021,Ischaemic heart disease,FEMALE,79.41
AFG,2021,Peptic ulcer disease,FEMALE,3.05
AFG,2021,Gallbladder and biliary diseases,FEMALE,1.01
AFG,2021,Infertility,FEMALE,0
AFG,2021,Congenital anomalies,FEMALE,12.39
AFG,2021,Natural disasters,FEMALE,1.57
AGO,2021,Diarrhoeal diseases,FEMALE,38.51
AGO,2021,Encephalitis,FEMALE,0.72
AGO,2021,Acute hepatitis C,FEMALE,0.07
AGO,2021,Lymphatic filariasis,FEMALE,0
AGO,2021,Hookworm disease,FEMALE,0
AGO,2021,Oesophagus cancer,FEMALE,1.43
AGO,2021,Corpus uteri cancer,FEMALE,0.59
AGO,2021,Gallbladder and biliary tract cancer,FEMALE,0.13
AGO,2021,Autism and Asperger syndrome,FEMALE,0
AGO,2021,Migraine,FEMALE,0
AGO,2021,Other hearing loss,FEMALE,0
AGO,2021,Rheumatoid arthritis,FEMALE,0.03
AGO,2021,Road injury,FEMALE,9.55
AGO,2021,Interpersonal violence,FEMALE,3.12
AGO,2021,Gonorrhoea,FEMALE,0.01
AGO,2021,Tetanus,FEMALE,1.05
AGO,2021,Acute hepatitis A,FEMALE,0.32
AGO,2021,Schistosomiasis,FEMALE,0.93
AGO,2021,Ascariasis,FEMALE,0.14
AGO,2021,COVID-19,FEMALE,20.45
AGO,2021,Neonatal sepsis and infections,FEMALE,5.56
AGO,2021,Breast cancer,FEMALE,9.18
AGO,2021,Mesothelioma,FEMALE,0.01
AGO,2021,Anxiety disorders,FEMALE,0
AGO,2021,Epilepsy,FEMALE,2.17
AGO,2021,Macular degeneration,FEMALE,0
AGO,2021,"Cardiomyopathy, myocarditis, endocarditis",FEMALE,6.84
AGO,2021,Appendicitis,FEMALE,0.31
AGO,2021,Gallbladder and biliary diseases,FEMALE,1.03
AGO,2021,Skin diseases,FEMALE,2.15
AGO,2021,Chlamydia,FEMALE,0.05
AGO,2021,Measles,FEMALE,1.22
AGO,2021,Chagas disease,FEMALE,0
AGO,2021,Food-bourne trematodes,FEMALE,0
AGO,2021,Leprosy,FEMALE,0
AGO,2021,Maternal conditions,FEMALE,19.61
AGO,2021,Birth asphyxia and birth trauma,FEMALE,22.64
AGO,2021,Iron-deficiency anaemia,FEMALE,0
AGO,2021,Pancreas cancer,FEMALE,0.5
AGO,2021,Melanoma and other skin cancers,FEMALE,0.8
AGO,2021,Brain and nervous system cancers,FEMALE,1.73
AGO,2021,Thyroid cancer,FEMALE,0.23
AGO,2021,"Lymphomas, multiple myeloma",FEMALE,1.95
AGO,2021,Sickle cell disorders and trait,FEMALE,2.55
AGO,2021,Schizophrenia,FEMALE,0
AGO,2021,Glaucoma,FEMALE,0
AGO,2021,Hypertensive heart disease,FEMALE,27.67
AGO,2021,Paralytic ileus and intestinal obstruction,FEMALE,2.16
AGO,2021,Drowning,FEMALE,4.61
AGO,2021,Whooping cough,FEMALE,8.74
AGO,2021,Malaria,FEMALE,52.96
AGO,2021,Trachoma,FEMALE,0
AGO,2021,Upper respiratory infections,FEMALE,0.53
AGO,2021,Iodine deficiency,FEMALE,0
AGO,2021,Colon and rectum cancers,FEMALE,1.86
AGO,2021,Prostate cancer,FEMALE,0
AGO,2021,Depressive disorders,FEMALE,0
AGO,2021,Idiopathic intellectual disability,FEMALE,0
AGO,2021,Asthma,FEMALE,6.15
AGO,2021,Pancreatitis,FEMALE,0.13
AGO,2021,Benign prostatic hyperplasia,FEMALE,0
AGO,2021,Gout,FEMALE,0
AGO,2021,Falls,FEMALE,4.27
AGO,2021,HIV/AIDS,FEMALE,43
AGO,2021,Acute hepatitis B,FEMALE,0.94
AGO,2021,Onchocerciasis,FEMALE,0
AGO,2021,Yellow fever,FEMALE,0.81
AGO,2021,Protein-energy malnutrition,FEMALE,8.02
AGO,2021,Stomach cancer,FEMALE,1.8
AGO,2021,Ovary cancer,FEMALE,1.36
AGO,2021,Childhood behavioural disorders,FEMALE,0
AGO,2021,Non-migraine headache,FEMALE,0
AGO,2021,Chronic obstructive pulmonary disease,FEMALE,8.28
AGO,2021,Gastritis and duodenitis,FEMALE,0.67
AGO,2021,Inflammatory bowel disease,FEMALE,0.14
AGO,2021,Kidney diseases,FEMALE,11.97
AGO,2021,Exposure to mechanical forces,FEMALE,0.48
AGO,2021,Self-harm,FEMALE,3.85
AGO,2021,Trichomoniasis,FEMALE,0
AGO,2021,Meningitis,FEMALE,12.06
AGO,2021,Acute hepatitis E,FEMALE,0.03
AGO,2021,Leishmaniasis,FEMALE,0.28
AGO,2021,Echinococcosis,FEMALE,0.32
AGO,2021,Trichuriasis,FEMALE,0
AGO,2021,Mouth and oropharynx cancers,FEMALE,1.43
AGO,2021,Cervix uteri cancer,FEMALE,12.43
AGO,2021,Testicular cancer,FEMALE,0
AGO,2021,Kidney cancer,FEMALE,0.79
AGO,2021,Diabetes mellitus,FEMALE,14.69
AGO,2021,Drug use disorders,FEMALE,0.05
AGO,2021,Eating disorders,FEMALE,0
AGO,2021,Parkinson disease,FEMALE,1.09
AGO,2021,Multiple sclerosis,FEMALE,0.02
AGO,2021,Uncorrected refractive errors,FEMALE,0
AGO,2021,Other vision loss,FEMALE,0
AGO,2021,Stroke,FEMALE,47.43
AGO,2021,Cirrhosis of the liver,FEMALE,16.35
AGO,2021,Gynecological diseases,FEMALE,0.39
AGO,2021,Syphilis,FEMALE,3.62
AGO,2021,Diphtheria,FEMALE,0.26
AGO,2021,African trypanosomiasis,FEMALE,0.27
AGO,2021,Cysticercosis,FEMALE,1.81
AGO,2021,Rabies,FEMALE,0.21
AGO,2021,Otitis media,FEMALE,0
AGO,2021,Preterm birth complications,FEMALE,37.58
AGO,2021,"Trachea, bronchus, lung cancers",FEMALE,0.84
AGO,2021,Leukaemia,FEMALE,1.05
AGO,2021,Alcohol use disorders,FEMALE,0.54
AGO,2021,Alzheimer disease and other dementias,FEMALE,8.39
AGO,2021,Cataracts,FEMALE,0
AGO,2021,Ischaemic heart disease,FEMALE,35.41
AGO,2021,Peptic ulcer disease,FEMALE,2.5
AGO,2021,Infertility,FEMALE,0
AGO,2021,Congenital anomalies,FEMALE,9.12
AGO,2021,Natural disasters,FEMALE,0.08
AGO,2021,Tuberculosis,FEMALE,52.59
AGO,2021,Genital herpes,FEMALE,0
AGO,2021,Dengue,FEMALE,0
AGO,2021,Lower respiratory infections,FEMALE,65.12
AGO,2021,Vitamin A deficiency,FEMALE,0
AGO,2021,Liver cancer,FEMALE,2.02
AGO,2021,Bladder cancer,FEMALE,0.59
AGO,2021,Larynx cancer,FEMALE,0.18
AGO,2021,Thalassaemias,FEMALE,0.12
AGO,2021,Bipolar disorder,FEMALE,0
AGO,2021,Rheumatic heart disease,FEMALE,2.73
AGO,2021,Urolithiasis,FEMALE,0.02
AGO,2021,Osteoarthritis,FEMALE,0
AGO,2021,Back and neck pain,FEMALE,0
AGO,2021,Oral conditions,FEMALE,0
AGO,2021,Sudden infant death syndrome,FEMALE,0.61
AGO,2021,Poisonings,FEMALE,0.8
AGO,2021,"Fire, heat and hot substances",FEMALE,2.95
AGO,2021,Collective violence and legal intervention,FEMALE,0.18
ALB,2021,Whooping cough,FEMALE,0
ALB,2021,Malaria,FEMALE,0
ALB,2021,Trachoma,FEMALE,0
ALB,2021,Upper respiratory infections,FEMALE,0.07
ALB,2021,Iron-deficiency anaemia,FEMALE,0
ALB,2021,Pancreas cancer,FEMALE,6.68
ALB,2021,"Lymphomas, multiple myeloma",FEMALE,2.53
ALB,2021,Schizophrenia,FEMALE,0
ALB,2021,Glaucoma,FEMALE,0
ALB,2021,Hypertensive heart disease,FEMALE,19.93
ALB,2021,Asthma,FEMALE,4.45
ALB,2021,Paralytic ileus and intestinal obstruction,FEMALE,0.75
ALB,2021,Pancreatitis,FEMALE,0.75
ALB,2021,Benign prostatic hyperplasia,FEMALE,0
ALB,2021,Gout,FEMALE,0
ALB,2021,Falls,FEMALE,2.44
ALB,2021,Diarrhoeal diseases,FEMALE,0.51
ALB,2021,Acute hepatitis C,FEMALE,0
ALB,2021,Iodine deficiency,FEMALE,0
ALB,2021,Colon and rectum cancers,FEMALE,7.42
ALB,2021,Prostate cancer,FEMALE,0
ALB,2021,Depressive disorders,FEMALE,0
ALB,2021,Autism and Asperger syndrome,FEMALE,0
ALB,2021,Idiopathic intellectual disability,FEMALE,0
ALB,2021,Migraine,FEMALE,0
ALB,2021,Other hearing loss,FEMALE,0
ALB,2021,Rheumatoid arthritis,FEMALE,0.29
ALB,2021,Road injury,FEMALE,4.78
ALB,2021,Interpersonal violence,FEMALE,1.94
ALB,2021,Encephalitis,FEMALE,0.56
ALB,2021,Acute hepatitis A,FEMALE,0
ALB,2021,Lymphatic filariasis,FEMALE,0
ALB,2021,Hookworm disease,FEMALE,0
ALB,2021,COVID-19,FEMALE,177.14
ALB,2021,Oesophagus cancer,FEMALE,1
ALB,2021,Breast cancer,FEMALE,23.24
ALB,2021,Corpus uteri cancer,FEMALE,3.74
ALB,2021,Gallbladder and biliary tract cancer,FEMALE,0.45
ALB,2021,Mesothelioma,FEMALE,0.28
ALB,2021,Anxiety disorders,FEMALE,0
ALB,2021,Epilepsy,FEMALE,1.52
ALB,2021,Macular degeneration,FEMALE,0
ALB,2021,"Cardiomyopathy, myocarditis, endocarditis",FEMALE,13.65
ALB,2021,Appendicitis,FEMALE,0.12
ALB,2021,Skin diseases,FEMALE,0.23
ALB,2021,Gonorrhoea,FEMALE,0
ALB,2021,Tetanus,FEMALE,0.08
ALB,2021,Schistosomiasis,FEMALE,0
ALB,2021,Cysticercosis,FEMALE,0
ALB,2021,Ascariasis,FEMALE,0
ALB,2021,Otitis media,FEMALE,0
ALB,2021,Preterm birth complications,FEMALE,3
ALB,2021,Neonatal sepsis and infections,FEMALE,0.24
ALB,2021,"Trachea, bronchus, lung cancers",FEMALE,14.54
ALB,2021,Leukaemia,FEMALE,4.85
ALB,2021,Alcohol use disorders,FEMALE,0.17
ALB,2021,Alzheimer disease and other dementias,FEMALE,47.09
ALB,2021,Cataracts,FEMALE,0
ALB,2021,Ischaemic heart disease,FEMALE,256.26
ALB,2021,Peptic ulcer disease,FEMALE,1.24
ALB,2021,Gallbladder and biliary diseases,FEMALE,0.6
ALB,2021,Infertility,FEMALE,0
ALB,2021,Congenital anomalies,FEMALE,2.76
ALB,2021,Natural disasters,FEMALE,0
ALB,2021,Syphilis,FEMALE,0.02
ALB,2021,Genital herpes,FEMALE,0
ALB,2021,Diphtheria,FEMALE,0
ALB,2021,African trypanosomiasis,FEMALE,0
ALB,2021,Dengue,FEMALE,0
ALB,2021,Rabies,FEMALE,0
ALB,2021,Lower respiratory infections,FEMALE,16.92
ALB,2021,Vitamin A deficiency,FEMALE,0
ALB,2021,Liver cancer,FEMALE,4.61
ALB,2021,Bladder cancer,FEMALE,2.62
ALB,2021,Larynx cancer,FEMALE,1
ALB,2021,Thalassaemias,FEMALE,0.05
ALB,2021,Bipolar disorder,FEMALE,0
ALB,2021,Rheumatic heart disease,FEMALE,2.31
ALB,2021,Urolithiasis,FEMALE,0.04
ALB,2021,Back and neck pain,FEMALE,0
ALB,2021,Oral conditions,FEMALE,0
ALB,2021,Sudden infant death syndrome,FEMALE,0.03
ALB,2021,"Fire, heat and hot substances",FEMALE,0.49
ALB,2021,Tuberculosis,FEMALE,0.21
ALB,2021,HIV/AIDS,FEMALE,0.28
ALB,2021,Acute hepatitis B,FEMALE,0.02
ALB,2021,Onchocerciasis,FEMALE,0
ALB,2021,Protein-energy malnutrition,FEMALE,0.61
ALB,2021,Stomach cancer,FEMALE,10.6
ALB,2021,Ovary cancer,FEMALE,6.09
ALB,2021,Childhood behavioural disorders,FEMALE,0
ALB,2021,Non-migraine headache,FEMALE,0
ALB,2021,Chronic obstructive pulmonary disease,FEMALE,20.82
ALB,2021,Gastritis and duodenitis,FEMALE,0.09
ALB,2021,Inflammatory bowel disease,FEMALE,0.85
ALB,2021,Kidney diseases,FEMALE,15.59
ALB,2021,Osteoarthritis,FEMALE,0
ALB,2021,Poisonings,FEMALE,0.19
ALB,2021,Exposure to mechanical forces,FEMALE,0.88
ALB,2021,Collective violence and legal intervention,FEMALE,0.03
ALB,2021,Trichomoniasis,FEMALE,0
ALB,2021,Meningitis,FEMALE,0.21
ALB,2021,Leishmaniasis,FEMALE,0.05
ALB,2021,Yellow fever,FEMALE,0
ALB,2021,Trichuriasis,FEMALE,0
ALB,2021,Mouth and oropharynx cancers,FEMALE,2.47
ALB,2021,Cervix uteri cancer,FEMALE,5.92
ALB,2021,Testicular cancer,FEMALE,0
ALB,2021,Kidney cancer,FEMALE,1.75
ALB,2021,Diabetes mellitus,FEMALE,8.01
ALB,2021,Eating disorders,FEMALE,0
ALB,2021,Multiple sclerosis,FEMALE,1.27
ALB,2021,Other vision loss,FEMALE,0
ALB,2021,Self-harm,FEMALE,2.33
ALB,2021,Chlamydia,FEMALE,0.01
ALB,2021,Measles,FEMALE,0.05
ALB,2021,Acute hepatitis E,FEMALE,0
ALB,2021,Chagas disease,FEMALE,0
ALB,2021,Echinococcosis,FEMALE,0
ALB,2021,Food-bourne trematodes,FEMALE,0
ALB,2021,Leprosy,FEMALE,0
ALB,2021,Maternal conditions,FEMALE,0.15
ALB,2021,Birth asphyxia and birth trauma,FEMALE,1.04
ALB,2021,Melanoma and other skin cancers,FEMALE,2.16
ALB,2021,Brain and nervous system cancers,FEMALE,4.74
ALB,2021,Thyroid cancer,FEMALE,0.42
ALB,2021,Sickle cell disorders and trait,FEMALE,0
ALB,2021,Drug use disorders,FEMALE,0.38
ALB,2021,Parkinson disease,FEMALE,8.48
ALB,2021,Uncorrected refractive errors,FEMALE,0
ALB,2021,Stroke,FEMALE,290.97
ALB,2021,Cirrhosis of the liver,FEMALE,5.54
ALB,2021,Gynecological diseases,FEMALE,0.19
ALB,2021,Drowning,FEMALE,0.61
ARE,2021,Whooping cough,FEMALE,0.03
ARE,2021,Malaria,FEMALE,0
ARE,2021,Trachoma,FEMALE,0
ARE,2021,Upper respiratory infections,FEMALE,0
ARE,2021,Protein-energy malnutrition,FEMALE,0.05
ARE,2021,Stomach cancer,FEMALE,1.47
ARE,2021,Ovary cancer,FEMALE,2.26
ARE,2021,Childhood behavioural disorders,FEMALE,0
ARE,2021,Non-migraine headache,FEMALE,0
ARE,2021,Other vision loss,FEMALE,0
ARE,2021,Chronic obstructive pulmonary disease,FEMALE,1.74
ARE,2021,Gastritis and duodenitis,FEMALE,0
ARE,2021,Inflammatory bowel disease,FEMALE,0.01
ARE,2021,Kidney diseases,FEMALE,4.99
ARE,2021,Exposure to mechanical forces,FEMALE,0.06
ARE,2021,Self-harm,FEMALE,0.36
ARE,2021,Chlamydia,FEMALE,0
ARE,2021,Measles,FEMALE,0
ARE,2021,Chagas disease,FEMALE,0
ARE,2021,Food-bourne trematodes,FEMALE,0
ARE,2021,Leprosy,FEMALE,0
ARE,2021,Maternal conditions,FEMALE,0.26
ARE,2021,Vitamin A deficiency,FEMALE,0
ARE,2021,Liver cancer,FEMALE,1.1
ARE,2021,Bladder cancer,FEMALE,0.44
ARE,2021,Larynx cancer,FEMALE,0.09
ARE,2021,Thalassaemias,FEMALE,0.02
ARE,2021,Bipolar disorder,FEMALE,0
ARE,2021,Rheumatic heart disease,FEMALE,0.28
ARE,2021,Urolithiasis,FEMALE,0.02
ARE,2021,Osteoarthritis,FEMALE,0
ARE,2021,Back and neck pain,FEMALE,0
ARE,2021,Oral conditions,FEMALE,0
ARE,2021,Sudden infant death syndrome,FEMALE,0.1
ARE,2021,Poisonings,FEMALE,0.04
ARE,2021,"Fire, heat and hot substances",FEMALE,0.4
ARE,2021,Collective violence and legal intervention,FEMALE,0.03
ARE,2021,Trichomoniasis,FEMALE,0
ARE,2021,Meningitis,FEMALE,0.16
ARE,2021,Acute hepatitis E,FEMALE,0
ARE,2021,Leishmaniasis,FEMALE,0
ARE,2021,Echinococcosis,FEMALE,0
ARE,2021,Trichuriasis,FEMALE,0
ARE,2021,"Trachea, bronchus, lung cancers",FEMALE,1.73
ARE,2021,Leukaemia,FEMALE,2.12
ARE,2021,Alcohol use disorders,FEMALE,0.02
ARE,2021,Alzheimer disease and other dementias,FEMALE,1.15
ARE,2021,Cataracts,FEMALE,0
ARE,2021,Ischaemic heart disease,FEMALE,15.86
ARE,2021,Peptic ulcer disease,FEMALE,0.21
ARE,2021,Infertility,FEMALE,0
ARE,2021,Congenital anomalies,FEMALE,3.03
ARE,2021,Natural disasters,FEMALE,0
ARE,2021,HIV/AIDS,FEMALE,0.19
ARE,2021,Acute hepatitis B,FEMALE,0.04
ARE,2021,Onchocerciasis,FEMALE,0
ARE,2021,Yellow fever,FEMALE,0
ARE,2021,Neonatal sepsis and infections,FEMALE,0.07
ARE,2021,Breast cancer,FEMALE,8.5
ARE,2021,Mesothelioma,FEMALE,0.09
ARE,2021,Anxiety disorders,FEMALE,0
ARE,2021,Epilepsy,FEMALE,0.21
ARE,2021,Macular degeneration,FEMALE,0
ARE,2021,"Cardiomyopathy, myocarditis, endocarditis",FEMALE,0.83
ARE,2021,Appendicitis,FEMALE,0.02
ARE,2021,Gallbladder and biliary diseases,FEMALE,0.26
ARE,2021,Skin diseases,FEMALE,0.19
ARE,2021,Tuberculosis,FEMALE,0.67
ARE,2021,Genital herpes,FEMALE,0
ARE,2021,Dengue,FEMALE,0
ARE,2021,Lower respiratory infections,FEMALE,2.93
ARE,2021,Oesophagus cancer,FEMALE,0.29
ARE,2021,Corpus uteri cancer,FEMALE,1.24
ARE,2021,Gallbladder and biliary tract cancer,FEMALE,0.28
ARE,2021,Autism and Asperger syndrome,FEMALE,0
ARE,2021,Migraine,FEMALE,0
ARE,2021,Other hearing loss,FEMALE,0
ARE,2021,Rheumatoid arthritis,FEMALE,0.02
ARE,2021,Road injury,FEMALE,3.85
ARE,2021,Interpersonal violence,FEMALE,0.18
ARE,2021,Syphilis,FEMALE,0.09
ARE,2021,Diphtheria,FEMALE,0
ARE,2021,African trypanosomiasis,FEMALE,0
ARE,2021,Cysticercosis,FEMALE,0
ARE,2021,Rabies,FEMALE,0
ARE,2021,Otitis media,FEMALE,0
ARE,2021,Preterm birth complications,FEMALE,1.74
ARE,2021,Iodine deficiency,FEMALE,0
ARE,2021,Colon and rectum cancers,FEMALE,3.18
ARE,2021,Prostate cancer,FEMALE,0
ARE,2021,Depressive disorders,FEMALE,0
ARE,2021,Idiopathic intellectual disability,FEMALE,0
ARE,2021,Asthma,FEMALE,0.57
ARE,2021,Pancreatitis,FEMALE,0.15
ARE,2021,Benign prostatic hyperplasia,FEMALE,0
ARE,2021,Gout,FEMALE,0
ARE,2021,Falls,FEMALE,0.65
ARE,2021,Gonorrhoea,FEMALE,0
ARE,2021,Tetanus,FEMALE,0.03
ARE,2021,Acute hepatitis A,FEMALE,0.01
ARE,2021,Schistosomiasis,FEMALE,0
ARE,2021,Ascariasis,FEMALE,0
ARE,2021,COVID-19,FEMALE,18.2
ARE,2021,Birth asphyxia and birth trauma,FEMALE,0.46
ARE,2021,Iron-deficiency anaemia,FEMALE,0
ARE,2021,Pancreas cancer,FEMALE,1.11
ARE,2021,Melanoma and other skin cancers,FEMALE,0.22
ARE,2021,Brain and nervous system cancers,FEMALE,1.39
ARE,2021,Thyroid cancer,FEMALE,1
ARE,2021,"Lymphomas, multiple myeloma",FEMALE,1.81
ARE,2021,Sickle cell disorders and trait,FEMALE,0.02
ARE,2021,Schizophrenia,FEMALE,0
ARE,2021,Glaucoma,FEMALE,0
ARE,2021,Hypertensive heart disease,FEMALE,2.88
ARE,2021,Paralytic ileus and intestinal obstruction,FEMALE,0.26
ARE,2021,Drowning,FEMALE,0.15
ARE,2021,Diarrhoeal diseases,FEMALE,0.16
ARE,2021,Encephalitis,FEMALE,0.02
ARE,2021,Acute hepatitis C,FEMALE,0.01
ARE,2021,Lymphatic filariasis,FEMALE,0
ARE,2021,Hookworm disease,FEMALE,0
ARE,2021,Mouth and oropharynx cancers,FEMALE,0.92
ARE,2021,Cervix uteri cancer,FEMALE,2.29
ARE,2021,Testicular cancer,FEMALE,0
ARE,2021,Kidney cancer,FEMALE,0.5
ARE,2021,Diabetes mellitus,FEMALE,4.62
ARE,2021,Drug use disorders,FEMALE,0.03
ARE,2021,Eating disorders,FEMALE,0
ARE,2021,Parkinson disease,FEMALE,0.46
ARE,2021,Multiple sclerosis,FEMALE,0.01
ARE,2021,Uncorrected refractive errors,FEMALE,0
ARE,2021,Stroke,FEMALE,9.43
ARE,2021,Cirrhosis of the liver,FEMALE,1.82
ARE,2021,Gynecological diseases,FEMALE,0.01
ARG,2021,Trichomoniasis,FEMALE,0
ARG,2021,Meningitis,FEMALE,0.46
ARG,2021,Acute hepatitis E,FEMALE,0.01
ARG,2021,Leishmaniasis,FEMALE,0
ARG,2021,Echinococcosis,FEMALE,1.06
ARG,2021,Trichuriasis,FEMALE,0
ARG,2021,"Trachea, bronchus, lung cancers",FEMALE,15.37
ARG,2021,Leukaemia,FEMALE,3.79
ARG,2021,Alcohol use disorders,FEMALE,0.12
ARG,2021,Alzheimer disease and other dementias,FEMALE,12.05
